SystemCode;Sum;EDNo;EDDate;EDAuthor;Priority;TransKind;AccDocDate;AccDocNo;PayerName;PayerBIC;PayerCorrespAcc;PayeeName;PayeeBIC;PayeeCorrespAcc;Purpose
02;50;1;2024-10-18;4583001999;1;01;2020-04-27;30;Филиал АО АКБ "НОВИКОМБАНК" в г. Новосибирске;045004162;30101810150045004162;ИК ЛНР;200000155;40202810245374371003;Назначение платежа? Например, порядковый номер ED101 = 1
02;45;2;2024-10-18;4583001999;1;01;1994-01-20;20;ПАО "БАНК УРАЛСИБ";044525787;30101810100000000787;АО "ОТП Банк";044525311;30101810000000000311;Назначение платежа? Например, порядковый номер ED101 = 2
02;58;3;2024-10-18;4583001999;1;01;2006-10-16;30;ПСКОВСКИЙ РФ АО "РОССЕЛЬХОЗБАНК";045805772;30101810900000000772;ЧИТИНСКОЕ ОТДЕЛЕНИЕ  N8600 ПАО СБЕРБАНК;047601637;30101810500000000637;Назначение платежа? Например, порядковый номер ED101 = 3
02;45;4;2024-10-18;4583001999;1;01;1994-01-20;90;КУ ООО КБ "Агросоюз" - ГК "АСВ";044525322;30101810645250000322;АО "ПроБанк";044525203;30101810845250000203;Назначение платежа? Например, порядковый номер ED101 = 4
02;45;5;2024-10-18;4583001999;1;01;1994-12-09;20;АО "НС Банк";044525158;30101810945250000158;Банк "ВБРР" (АО);044525880;30101810900000000880;Назначение платежа? Например, порядковый номер ED101 = 5
02;45;6;2024-10-18;4583001999;1;01;2002-03-01;20;"Банк "МБА-МОСКВА" ООО;044525502;30101810000000000502;АО "Витабанк";044525758;30101810845374525758;Назначение платежа? Например, порядковый номер ED101 = 6
02;45;7;2024-10-18;4583001999;1;01;1994-06-15;20;АО МС Банк Рус;044525490;30101810645250000490;Банк ИПБ (АО);044525402;30101810100000000402;Назначение платежа? Например, порядковый номер ED101 = 7
02;45;8;2024-10-18;4583001999;1;01;2002-06-28;20;АО КБ "РУСНАРБАНК";044525466;30101810145250000466;КРАСН.Ф-Л АО АИКБ "ЕНИСЕЙСК.ОБЪЕД.БАНК";040407853;30101810700000000853;Назначение платежа? Например, порядковый номер ED101 = 8
02;25;9;2024-10-18;4583001999;1;01;2019-03-05;30;Филиал "Сибирский" АО "РЕАЛИСТ БАНК";042520780;30101810750042520780;ПАО "ТОМСКПРОМСТРОЙБАНК";046902728;30101810500000000728;Назначение платежа? Например, порядковый номер ED101 = 9
02;45;10;2024-10-18;4583001999;1;01;2014-12-12;90;КУ ЗАО "СЕВЕРНАЯ КЛИРИНГОВАЯ ПАЛАТА";041117309;30103810400000000309;ЮЖНЫЙ ФИЛИАЛ ПАО КБ "ВОСТОЧНЫЙ";046015300;30101810300000000300;Назначение платежа? Например, порядковый номер ED101 = 10
02;45;11;2024-10-18;4583001999;1;01;2009-06-29;20;АО "СМБСР Банк";044525521;30101810200000000470;АО МОСОБЛБАНК;044525470;30101810900000000521;Назначение платежа? Например, порядковый номер ED101 = 11
02;45;12;2024-10-18;4583001999;1;01;1994-06-15;20;АО РОСЭКСИМБАНК;044525192;30101810545250000192;КБ "Долинск" (АО);046401727;30101810300000000727;Назначение платежа? Например, порядковый номер ED101 = 12
02;45;13;2024-10-18;4583001999;1;01;1994-01-20;20;АКБ "НРБанк" (АО);044525933;30101810200000000933;Банк "ТРАСТ" (ПАО);044525635;30101810345250000635;Назначение платежа? Например, порядковый номер ED101 = 13
